,Pitcher,cluster,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,VertApprAngle,HorzApprAngle,p_Changeup,p_Curveball,p_Cutter,p_Four-Seam,p_Sinker,p_Slider,p_Splitter
29,"Pelzman, Harry",5,78.76115461538461,2000.4854613076923,270.0932933076923,1.4844330769230767,-7.786376153846153,-9.019890615384615,-2.8249782307692306,7.692307692307693e-05,0.093,0.00023076923076923076,7.692307692307693e-05,7.692307692307693e-05,0.9059230769230768,0.0
30,"Pelzman, Harry",6,86.07536095238095,2080.463231904762,159.90254409523808,13.12986380952381,4.4225561904761905,-6.26435661904762,-2.690204714285714,0.0,0.0,0.2572857142857143,0.7381904761904762,0.0035238095238095237,0.00019047619047619048,0.0
31,"Remmers, Ethan",0,86.1589852657005,1965.7333495603866,116.09555190338165,9.802271690821255,17.473900531400965,-5.960456391304348,-1.0278986473429952,0.014913043478260871,2.8985507246376814e-05,7.729468599033817e-05,0.05595652173913043,0.9281207729468599,3.864734299516908e-05,0.00036714975845410626
32,"Remmers, Ethan",1,77.73053666666667,1357.800269904762,94.451513,2.061087777777778,10.547719523809524,-7.7854449841269835,-1.938679761904762,0.9998095238095238,0.0,0.0,0.0,0.0,0.0,0.00012698412698412698
33,"Remmers, Ethan",2,73.32451985714286,2182.307601857143,303.3572016857143,-8.994778571428572,-16.811269857142857,-9.650729185714287,-5.037712342857143,0.0,0.9995428571428572,0.0,0.0,0.0,0.00034285714285714285,0.0
34,"Remmers, Ethan",3,74.11349015625,2166.65283696875,296.378988,-6.8850984375,-17.24724765625,-7.3597093593750005,-3.349447546875,0.0,0.95115625,0.0,0.0,0.0,0.0481875,0.0
35,"Remmers, Ethan",4,85.92962387096773,1973.327532612903,155.12929341935487,14.814879354838709,5.818574193548387,-5.734892838709677,-0.947452935483871,0.00025806451612903227,0.00012903225806451613,0.00532258064516129,0.9772580645161291,0.016193548387096773,0.00025806451612903227,0.00012903225806451613
36,"Ries, Nathan",0,87.71038563106796,2011.4095957985437,193.7264097208738,19.703276262135923,4.458468567961165,-5.030761279126214,-1.2083830388349515,0.0,0.0,1.941747572815534e-05,0.9999805825242719,0.0,0.0,0.0
37,"Ries, Nathan",1,69.71534466257668,2380.081964791411,20.062890233128833,-18.595068404907977,-7.583438773006135,-10.475683319018405,-1.2029857361963192,0.0,0.9991104294478527,0.0,0.0,0.0,0.0008895705521472394,0.0
38,"Ries, Nathan",2,77.26943849999999,1584.11470504,240.02716560000002,9.9767653,13.2522535,-7.0446879000000004,1.21537042,0.99982,0.0,0.0,0.0,0.0,0.0,0.00018
39,"Ries, Nathan",3,87.56791410394266,1935.206113222222,194.12717127419356,16.434650071684587,3.8209579569892473,-5.478479569892473,-1.3067246559139787,5.1971326164874556e-05,0.0,0.0002777777777777778,0.9995878136200717,0.0,1.7921146953405017e-06,0.0
40,"Ries, Nathan",4,78.5006805904059,1983.7578807047971,138.62582190774907,2.6789234686346863,-1.8006060885608857,-7.823348383763837,-2.026631077490775,0.0001992619926199262,0.11241328413284132,0.0,0.0,0.0,0.8873690036900369,0.0
41,"Villar, Jake",0,78.7483954117647,2261.586385512941,279.4163372517647,-0.10348557647058823,-10.259760141176471,-8.23909096,-3.6394365717647057,0.0,0.016256470588235292,1.1764705882352942e-05,0.0,0.0,0.9831670588235294,0.0
42,"Villar, Jake",1,85.651917,2137.492678531579,148.25371053157895,9.989484473684211,5.4180071578947375,-6.490715357894738,-1.4683100157894737,0.015768421052631577,0.00028947368421052634,0.5928947368421053,0.23933157894736842,0.09701052631578946,0.0541421052631579,0.00018421052631578948
43,"Villar, Jake",2,77.952792,1540.029305547826,108.3355716,5.417353608695652,11.532054347826087,-7.59588107826087,-1.0675589652173911,0.9999217391304348,0.0,0.0,0.0,0.0,0.0,0.0
44,"Villar, Jake",3,78.55747260115606,2287.904963352601,248.44271941618496,4.372043294797687,-8.090203988439306,-7.11433636416185,-3.2200209884393063,0.0,0.0034335260115606935,5.780346820809249e-06,0.0,0.0,0.995965317919075,0.0
45,"Villar, Jake",4,85.08456105113636,2139.6880874801136,127.49118988068182,10.148074744318182,11.753348579545456,-6.6113044801136365,-0.7408742443181818,0.05329545454545455,0.0007073863636363636,0.023454545454545454,0.24756818181818183,0.6624460227272727,0.009786931818181818,0.002440340909090909
46,"Villar, Jake",5,76.82654203065135,1531.234712770115,139.848873559387,11.70280908045977,8.456480727969348,-6.371725164750957,-1.43592969348659,0.9999616858237548,0.0,0.0,0.0,0.0,0.0,0.0
47,"Villar, Jake",6,78.39127074712643,2114.628989770115,304.245994862069,-4.388836494252874,-9.261108390804598,-9.24235335632184,-3.590139074712644,2.2988505747126437e-05,0.46665517241379306,3.4482758620689657e-05,0.0,0.0,0.5327183908045977,0.0
48,"Villar, Jake",7,85.85424961977186,2202.592344121673,163.12820031178705,16.44184661596958,4.672643802281369,-5.911054414448669,-2.3025338441064642,1.1406844106463879e-05,0.0,0.014448669201520912,0.9789505703422053,0.006197718631178707,3.802281368821293e-06,0.0
49,"Weber, Chapman",0,78.75270861702127,2301.9914056702128,90.43498742553192,0.5457154255319149,-3.807008085106383,-8.32572205319149,-2.4399143723404255,0.0,0.10506382978723404,0.0,0.0,0.0,0.8948510638297872,0.0
50,"Weber, Chapman",1,89.74166577546296,2242.288158060185,204.25264573032405,23.855650856481482,10.090275532407407,-4.693769106481481,0.15210819791666666,0.0,0.0,0.0,0.9999722222222223,2.777777777777778e-05,0.0,0.0
