,Pitcher,AutoPitchType,triStuff+,cv_predicted_prob_lgbm,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,VertApprAngle,HorzApprAngle,speed_diff,IVB_diff,HB_diff,pitch_count
19,"Ernisse, Zach",Slider,101.69364209594517,0.25385714285714284,81.99253428571429,2355.464247642857,5.713890714285715,-1.1557857142857144,5.362308571428572,1.4516064285714287,5.936116428571429,-7.5235359285714285,2.2471356428571427,-6.377610714285708,-20.910748571428574,-12.005102218045112,14
20,"Gregson, Niccolas",Changeup,107.34032518500128,0.3406666666666667,78.63283333333334,1569.569381,5.436566666666667,1.73304,5.990083333333334,12.293536666666668,13.503643333333335,-6.915686333333333,-0.606961,-11.37208184652278,-6.797880815347722,7.187232973621104,3
21,"Gregson, Niccolas",Curveball,105.09314205473297,0.3195,75.75463049999999,2820.0496023,5.5102455,1.3901315,5.917033,-13.950309999999998,-7.1561685,-9.8093423,-2.5972806,-14.250284679856113,-33.041727482014394,-13.472578859712229,20
22,"Gregson, Niccolas",Cutter,96.45755965047798,0.154,88.26531,2439.928659,5.50332,1.52727,7.05358,16.3265,-2.68555,-5.853316,-2.328254,-1.7396051798561132,-2.76491748201439,-9.00196035971223,2
23,"Gregson, Niccolas",Four-Seam,98.7192339047156,0.20344029850746267,90.13479328358208,2262.576184641791,5.560915074626865,1.303195970149254,6.413108059701493,19.294427014925372,6.473086716417911,-4.750711425373134,-0.8369636940298508,0.1298781037259764,0.20300953291098414,0.1566763567056804,134
24,"Gregson, Niccolas",Sinker,91.82452318735155,0.105,87.83888,2084.373145,5.49376,1.20502,6.25768,16.1143,13.20627,-6.286205,0.974456,-2.1660351798561095,-2.977117482014389,6.88985964028777,1
25,"Gregson, Niccolas",Slider,108.41324369905124,0.37806666666666666,83.55264600000001,2441.767603133333,5.350665333333334,1.5313746666666668,6.070683333333333,6.376420666666666,-2.189928,-6.902475866666666,-2.7580322666666666,-6.452269179856112,-12.714996815347723,-8.50633835971223,15
26,"Hasegawa, Sam",Curveball,102.26989580146949,0.265375,78.4159225,2551.513483,5.79361375,-2.18561375,5.3168675,-8.4448225,10.4940175,-9.357524875,3.42901225,-11.27692441964286,-19.0914271875,-10.159251651785715,8
27,"Hasegawa, Sam",Cutter,99.4312724075447,0.21169318181818184,89.36771494318181,2392.7046021363635,5.848575340909091,-2.166548068181818,5.7990407954545455,10.134176193181817,1.3033127840909091,-6.183425994318182,2.6317793977272728,-0.3251319764610427,-0.5124284943181818,-0.9685469358766233,176
28,"Hasegawa, Sam",Four-Seam,95.9438808396123,0.15543835616438356,90.50717493150685,2408.3341037123287,5.873549589041096,-2.1055775342465752,5.888568219178082,13.044932328767125,-2.8556075342465754,-5.9311066027397255,1.910550383561644,0.8143280118639885,2.3983276412671235,3.190373382460861,73
29,"Hasegawa, Sam",Slider,102.69006259107215,0.26736507936507936,84.77520444444444,2503.169998015873,5.827017936507937,-2.3168580952380955,5.616058095238095,2.401897142857143,7.46369380952381,-7.389329952380952,3.514909682539683,-4.917642475198417,-8.244707544642857,-7.1289279613095236,63
30,"Huy, Nathan",Changeup,91.25120334324762,0.1,82.92607,1816.739218,6.01853,-0.5977,5.53245,10.78823,-5.4291,-6.854909,0.334852,-2.495087857142849,-0.7802299999999995,5.125629285714286,1
31,"Huy, Nathan",Curveball,95.42374566997559,0.14542857142857143,75.03607285714286,2275.9100714285714,5.602778571428572,-1.6033771428571428,4.5982199999999995,3.6096299999999997,11.863032857142857,-8.046268142857143,2.3959064285714287,-10.385084999999986,-7.95883,-12.166503571428573,7
32,"Huy, Nathan",Cutter,101.53128123441536,0.274,86.042356,1893.9290764000002,6.1149439999999995,-1.006353,5.210089,9.55488,0.794969,-7.2896703,1.3188595,0.6211981428571548,-2.0135799999999997,-1.0984397142857145,10
33,"Huy, Nathan",Four-Seam,92.29052883616446,0.11,84.18219333333333,1967.7842186666667,6.1691,-0.50331,5.499576666666667,18.54047,-2.256393333333333,-6.075744,0.45647366666666667,-1.2389645238095095,6.97201,1.9529226190476188,3
34,"Huy, Nathan",Slider,96.72032529040334,0.1799,76.59974,2245.5453098,5.593638,-1.9255520000000002,4.983364,2.565678,7.7890500000000005,-8.0274828,3.0576944,-8.821417857142848,-9.002782,-8.092520714285715,10
35,"King, Devon",Changeup,103.71938658605457,0.266,86.22997,1399.798988,5.65217,1.00321,5.23657,4.56292,12.95898,-7.442766,0.730016,-3.9783686000000102,-13.401620199999998,3.0676056000000003,1
36,"King, Devon",Curveball,100.6646653351499,0.24509090909090905,77.32575181818181,2741.185046818182,5.2805136363636365,1.3612527272727273,5.212278181818181,-6.500630909090909,-16.975122727272726,-8.724037090909091,-3.1273640909090905,-12.882586781818189,-24.465171109090907,-26.866497127272726,11
37,"King, Devon",Cutter,101.95744121183871,0.23975,84.62107916666666,2611.573269,5.555278333333334,1.0206708333333332,5.308655000000001,14.206198333333333,-0.8869958333333333,-5.575271833333333,-1.7920395000000002,-5.587259433333336,-3.7583418666666653,-10.778370233333334,12
38,"King, Devon",Four-Seam,98.04872097719777,0.19015555555555558,90.55835400000001,2411.435035711111,5.514488888888889,1.1372555555555555,5.635058,18.543804666666666,10.584776222222223,-4.7323967555555555,-0.35034775555555553,0.3500153999999968,0.5792644666666682,0.693401822222222,45
39,"King, Devon",Sinker,92.28672931668707,0.11066666666666668,90.05382666666667,2436.294588,5.489836666666666,1.2283366666666666,5.785396666666666,15.792513333333334,14.563,-4.976426333333333,0.275731,-0.1545119333333389,-2.172026866666665,4.6716256,3
40,"King, Devon",Slider,104.33385295799225,0.2884418604651163,82.62076360465116,2665.3169560697675,5.533122906976744,1.1133531395348837,5.223119302325582,7.679011162790697,-5.553659883720931,-6.487130302325581,-2.0708137674418605,-7.5875749953488425,-10.285529037209301,-15.445034283720931,86
41,"Marchetti, Landon",Changeup,107.27298721745113,0.3600714285714286,78.25615071428571,1701.5797815714286,5.156337142857143,-2.382530714285714,6.1196657142857145,11.372942857142858,-15.63895642857143,-6.901805785714286,0.35594157142857147,-8.3348679953917,-8.045065368663597,6.78424900921659,14
