date,away_team,Away_score,home_team,home_score
4/27/2025,"UC Santa Barbara
Gauchos",8,"UC San Diego
Tritons",10
4/27/2025,"CS Northridge
Matadors",13,"Long Beach St
49ers",12
4/29/2025,"CS Fullerton
Titans",1,"UC Irvine
Anteaters",5
5/2/2025,"UC Santa Barbara
Gauchos",2,"CS Fullerton
Titans",3
5/2/2025,"UC San Diego
Tritons",19,"UC Irvine
Anteaters",4
5/2/2025,"Cal Poly
Mustangs",4,"CS Bakersfield
Roadrunners",1
5/2/2025,"UC Davis
Aggies",1,"Long Beach St
49ers",0
5/2/2025,"UC Riverside
Highlanders",0,"CS Northridge
Matadors",11
5/3/2025,"UC Santa Barbara
Gauchos",4,"CS Fullerton
Titans",10
5/3/2025,"UC San Diego
Tritons",4,"UC Irvine
Anteaters",0
5/3/2025,"Cal Poly
Mustangs",9,"CS Bakersfield
Roadrunners",5
5/3/2025,"UC Davis
Aggies",1,"Long Beach St
49ers",4
5/3/2025,"UC Riverside
Highlanders",3,"CS Northridge
Matadors",1
5/4/2025,"UC Santa Barbara
Gauchos",4,"CS Fullerton
Titans",3
5/4/2025,"UC San Diego
Tritons",4,"UC Irvine
Anteaters",8
5/4/2025,"Cal Poly
Mustangs",12,"CS Bakersfield
Roadrunners",6
5/4/2025,"UC Davis
Aggies",4,"Long Beach St
49ers",5
5/4/2025,"UC Riverside
Highlanders",4,"CS Northridge
Matadors",7
5/9/2025,"Hawaii
Rainbow Warriors",8,"CS Fullerton
Titans",7
5/9/2025,"UC Irvine
Anteaters",14,"CS Bakersfield
Roadrunners",11
5/9/2025,"Cal Poly
Mustangs",17,"CS Northridge
Matadors",1
5/9/2025,"Long Beach St
49ers",12,"UC Riverside
Highlanders",4
5/9/2025,"UC Davis
Aggies",9,"UC San Diego
Tritons",8
5/10/2025,"Hawaii
Rainbow Warriors",1,"CS Fullerton
Titans",9
5/10/2025,"UC Irvine
Anteaters",7,"CS Bakersfield
Roadrunners",3
5/10/2025,"Cal Poly
Mustangs",6,"CS Northridge
Matadors",11
5/10/2025,"Long Beach St
49ers",6,"UC Riverside
Highlanders",3
5/10/2025,"UC Davis
Aggies",10,"UC San Diego
Tritons",9
5/11/2025,"Hawaii
Rainbow Warriors",10,"CS Fullerton
Titans",2
5/11/2025,"UC Irvine
Anteaters",5,"CS Bakersfield
Roadrunners",3
5/11/2025,"Cal Poly
Mustangs",10,"CS Northridge
Matadors",9
5/11/2025,"Long Beach St
49ers",2,"UC Riverside
Highlanders",0
5/11/2025,"UC Davis
Aggies",0,"UC San Diego
Tritons",23
5/15/2025,"CS Fullerton
Titans",9,"UC Irvine
Anteaters",7
5/15/2025,"UC Riverside
Highlanders",9,"Cal Poly
Mustangs",14
5/15/2025,"CS Bakersfield
Roadrunners",4,"UC Santa Barbara
Gauchos",5
5/15/2025,"UC San Diego
Tritons",3,"Hawaii
Rainbow Warriors",6
5/15/2025,"CS Northridge
Matadors",3,"UC Davis
Aggies",2
5/16/2025,"CS Fullerton
Titans",4,"UC Irvine
Anteaters",2
5/16/2025,"UC Riverside
Highlanders",5,"Cal Poly
Mustangs",6
5/16/2025,"CS Bakersfield
Roadrunners",1,"UC Santa Barbara
Gauchos",10
5/16/2025,"UC San Diego
Tritons",12,"Hawaii
Rainbow Warriors",6
5/16/2025,"CS Northridge
Matadors",3,"UC Davis
Aggies",5
5/17/2025,"CS Fullerton
Titans",10,"UC Irvine
Anteaters",12
5/17/2025,"UC Riverside
Highlanders",7,"Cal Poly
Mustangs",16
5/17/2025,"CS Bakersfield
Roadrunners",13,"UC Santa Barbara
Gauchos",12
