Date,away_team,away_score,home_team,home_score,innings
3/18/2025,"UNLV
 Runnin' Rebels",0,"CS Fullerton
 Titans",4,9
3/18/2025,"Fresno St
 Bulldogs",17,"CS Bakersfield
 Roadrunners",8,9
3/18/2025,"Columbia
 Lions",2,"CS Northridge
 Matadors",12,9
3/18/2025,"Loy Marymount
 Lions",6,"Long Beach St
 49ers",9,9
3/21/2025,"CS Fullerton
 Titans",12,"UC Riverside
 Highlanders",1,9
3/21/2025,"UC Irvine
 Anteaters",10,"UC Santa Barbara
 Gauchos",0,9
3/21/2025,"Oregon St
 Beavers",4,"Cal Poly
 Mustangs",1,9
3/21/2025,"CS Northridge
 Matadors",7,"CS Bakersfield
 Roadrunners",11,9
3/21/2025,"Long Beach St
 49ers",4,"UC San Diego
 Tritons",7,9
3/22/2025,"CS Fullerton
 Titans",18,"UC Riverside
 Highlanders",3,9
3/22/2025,"UC Irvine
 Anteaters",9,"UC Santa Barbara
 Gauchos",3,9
3/22/2025,"Oregon St
 Beavers",6,"Cal Poly
 Mustangs",7,9
3/22/2025,"CS Northridge
 Matadors",7,"CS Bakersfield
 Roadrunners",4,9
3/22/2025,"UC Davis
 Aggies",2,"Hawaii
 Rainbow Warriors",7,9
3/22/2025,"Long Beach St
 49ers",10,"UC San Diego
 Tritons",13,9
3/23/2025,"CS Fullerton
 Titans",10,"UC Riverside
 Highlanders",5,9
3/23/2025,"UC Irvine
 Anteaters",9,"UC Santa Barbara
 Gauchos",4,9
3/23/2025,"Oregon St
 Beavers",8,"Cal Poly
 Mustangs",2,9
3/23/2025,"CS Northridge
 Matadors",10,"CS Bakersfield
 Roadrunners",9,9
3/23/2025,"UC Davis
 Aggies",0,"Hawaii
 Rainbow Warriors",16,9
3/23/2025,"Long Beach St
 49ers",10,"UC San Diego
 Tritons",0,9
3/24/2025,"UC Davis
 Aggies",1,"Hawaii
 Rainbow Warriors",2,9
3/25/2025,"San Diego
 Toreros",2,"CS Fullerton
 Titans",6,9
3/25/2025,"UC Irvine
 Anteaters",12,"USC
 Trojans",9,9
3/25/2025,"UC San Diego
 Tritons",6,"Cal Baptist
 Lancers",10,9
3/25/2025,"Cal Poly
 Mustangs",10,"Pepperdine
 Waves",2,9
3/25/2025,"Hawaii Hilo
 Vulcans",8,"Hawaii
 Rainbow Warriors",9,9
3/25/2025,"UC Santa Barbara
 Gauchos",7,"St Mary's CA
 Gaels",2,9
3/25/2025,"UC Riverside
 Highlanders",7,"San Diego St
 Aztecs",2,9
3/26/2025,"Nevada
 Wolf Pack",1,"UC Davis
 Aggies",3,9
3/27/2025,"UC San Diego
 Tritons",5,"Santa Clara
 Broncos",10,9
3/28/2025,"CS Bakersfield
 Roadrunners",1,"CS Fullerton
 Titans",8,9
3/28/2025,"UC Riverside
 Highlanders",1,"UC Irvine
 Anteaters",20,9
3/28/2025,"Cal Poly
 Mustangs",4,"UC Davis
 Aggies",2,9
3/28/2025,"Hawaii
 Rainbow Warriors",10,"CS Northridge
 Matadors",15,9
3/28/2025,"UC San Diego
 Tritons",2,"Santa Clara
 Broncos",12,9
3/28/2025,"UC Santa Barbara
 Gauchos",6,"Long Beach St
 49ers",9,9
3/29/2025,"CS Bakersfield
 Roadrunners",1,"CS Fullerton
 Titans",6,9
3/29/2025,"UC Riverside
 Highlanders",8,"UC Irvine
 Anteaters",14,9
3/29/2025,"Cal Poly
 Mustangs",11,"UC Davis
 Aggies",0,9
3/29/2025,"Hawaii
 Rainbow Warriors",9,"CS Northridge
 Matadors",3,9
3/29/2025,"UC San Diego
 Tritons",4,"Santa Clara
 Broncos",5,9
3/29/2025,"UC Santa Barbara
 Gauchos",9,"Long Beach St
 49ers",0,9
3/29/2025,"Cal Poly
 Mustangs",5,"UC Davis
 Aggies",1,9
3/30/2025,"CS Bakersfield
 Roadrunners",6,"CS Fullerton
 Titans",5,9
3/30/2025,"UC Riverside
 Highlanders",4,"UC Irvine
 Anteaters",7,9
3/30/2025,"Hawaii
 Rainbow Warriors",14,"CS Northridge
 Matadors",10,9
3/30/2025,"UC San Diego
 Tritons",5,"Santa Clara
 Broncos",2,9
3/30/2025,"UC Santa Barbara
 Gauchos",4,"Long Beach St
 49ers",5,9
3/31/2025,"Cal Poly
 Mustangs",13,"Fresno St
 Bulldogs",5,9
4/1/2025,"CS Fullerton
 Titans",4,"Arizona St
 Sun Devils",14,9
4/1/2025,"San Diego
 Toreros",7,"UC Irvine
 Anteaters",16,9
4/1/2025,"UC Santa Barbara
 Gauchos",3,"Loy Marymount
 Lions",1,9
4/1/2025,"Hawaii Pacific
 Sea Warriors",8,"Hawaii
 Rainbow Warriors",10,9
4/2/2025,"CS Fullerton
 Titans",4,"Grand Canyon
 Antelopes",2,9
4/2/2025,"CS Northridge
 Matadors",11,"San Francisco
 Dons",2,9
4/2/2025,"UC Davis
 Aggies",12,"Nevada
 Wolf Pack",6,9
4/4/2025,"CS Fullerton
 Titans",16,"CS Northridge
 Matadors",5,9
4/4/2025,"UC Irvine
 Anteaters",12,"Oregon St
 Beavers",0,9
4/4/2025,"UC Riverside
 Highlanders",2,"CS Bakersfield
 Roadrunners",7,9
4/4/2025,"Long Beach St
 49ers",5,"Hawaii
 Rainbow Warriors",10,9
4/4/2025,"UC Davis
 Aggies",1,"UC Santa Barbara
 Gauchos",0,9
4/4/2025,"UC San Diego
 Tritons",6,"Cal Poly
 Mustangs",9,9
4/5/2025,"CS Fullerton
 Titans",9,"CS Northridge
 Matadors",3,9
4/5/2025,"UC Irvine
 Anteaters",2,"Oregon St
 Beavers",4,9
