base_count_state,Outs,runs_remaining
0_1_1_0_0,0,2.096051227321238
0_1_1_0_0,1,1.4230406043437205
0_1_1_0_0,2,0.6565860215053764
0_1_1_0_1,0,1.905128205128205
0_1_1_0_1,1,1.236822568671121
0_1_1_0_1,2,0.49898785425101216
0_1_1_0_2,0,1.6906077348066297
0_1_1_0_2,1,1.012084592145015
0_1_1_0_2,2,0.3620178041543027
0_1_1_1_0,0,2.0542452830188678
0_1_1_1_0,1,1.45760336370007
0_1_1_1_0,2,0.7129162462159435
0_1_1_1_1,0,1.9270516717325228
0_1_1_1_1,1,1.242560865644725
0_1_1_1_1,2,0.532126168224299
0_1_1_1_2,0,1.686046511627907
0_1_1_1_2,1,1.0685654008438819
0_1_1_1_2,2,0.3629842180774749
0_1_1_2_0,0,2.097826086956522
0_1_1_2_0,1,1.6175972927241962
0_1_1_2_0,2,0.7844827586206896
0_1_1_2_1,0,2.1465968586387434
0_1_1_2_1,1,1.4088820826952526
0_1_1_2_1,2,0.5871470301850049
0_1_1_2_2,0,1.9828326180257512
0_1_1_2_2,1,1.1553973902728352
0_1_1_2_2,2,0.4076086956521739
0_1_1_3_0,0,2.1538461538461537
0_1_1_3_0,1,1.7318007662835249
0_1_1_3_0,2,0.9589442815249267
0_1_1_3_1,0,1.9196428571428572
0_1_1_3_1,1,1.410179640718563
0_1_1_3_1,2,0.7533980582524272
0_1_1_3_2,0,2.2804232804232805
0_1_1_3_2,1,1.2322033898305085
0_1_1_3_2,2,0.48156424581005586
1_0_0_0_0,0,1.2656092648539778
1_0_0_0_0,1,0.7356487833056539
1_0_0_0_0,2,0.31651670951156813
1_0_0_0_1,0,1.1313220940550133
1_0_0_0_1,1,0.652946378326232
1_0_0_0_1,2,0.2502192108409725
1_0_0_0_2,0,1.0088179718664707
1_0_0_0_2,1,0.5439799331103679
1_0_0_0_2,2,0.18123186069009997
1_0_0_1_0,0,1.3701735031591615
1_0_0_1_0,1,0.7911577498709789
1_0_0_1_0,2,0.3507966964211229
1_0_0_1_1,0,1.2294479981047146
